block,step_idx,timestep,top1_feature_id,top1_score,topk_mass,topk_ids,topk_scores
unet.up_blocks.0.attentions.0,10,628,1510,4.6015625,35.9375,1510 2712 2791 3846 715 1718 3785 1208 4699 3007,4.601562 4.449219 4.210938 4.050781 3.742188 3.386719 3.162109 2.839844 2.753906 2.750000
unet.up_blocks.0.attentions.0,11,595,1510,4.67578125,34.0625,1510 3846 2712 2791 715 1718 1208 3785 1604 4699,4.675781 3.945312 3.929688 3.886719 3.564453 3.355469 2.712891 2.710938 2.640625 2.634766
unet.up_blocks.0.attentions.0,12,562,1510,4.72265625,32.78125,1510 2712 3846 2791 1718 715 1604 3785 1208 4699,4.722656 3.726562 3.634766 3.566406 3.484375 3.341797 2.802734 2.505859 2.498047 2.486328
unet.up_blocks.0.attentions.0,13,529,1510,4.48046875,31.421875,1510 1718 2712 3846 715 2791 1604 4699 3785 1208,4.480469 3.529297 3.406250 3.349609 3.236328 3.208984 3.128906 2.412109 2.341797 2.322266
unet.up_blocks.0.attentions.0,14,496,1510,4.42578125,30.578125,1510 1718 3846 2712 1604 2791 715 4699 1865 1208,4.425781 3.576172 3.240234 3.214844 3.171875 3.093750 3.078125 2.316406 2.230469 2.228516
unet.up_blocks.0.attentions.0,15,463,1510,4.4375,30.125,1510 1718 1604 3846 2791 715 2712 1865 4699 1208,4.437500 3.605469 3.195312 3.130859 3.050781 3.019531 2.925781 2.292969 2.242188 2.216797
unet.up_blocks.0.attentions.0,16,430,1510,4.4140625,29.640625,1510 1718 715 1604 2791 3846 2712 1865 1208 4699,4.414062 3.623047 3.154297 3.097656 3.000000 2.935547 2.703125 2.423828 2.189453 2.101562
unet.up_blocks.0.attentions.0,17,397,1510,4.41015625,29.40625,1510 1718 715 1604 2791 3846 2712 1865 1208 3813,4.410156 3.693359 3.177734 3.160156 2.972656 2.724609 2.550781 2.478516 2.183594 2.048828
unet.up_blocks.0.attentions.0,18,364,1510,4.28125,28.59375,1510 1718 715 1604 2791 3846 2712 1865 1208 3813,4.281250 3.744141 3.154297 3.042969 2.910156 2.496094 2.464844 2.328125 2.109375 2.058594
unet.up_blocks.0.attentions.0,19,331,1510,4.09375,28.046875,1510 1718 715 1604 2791 2712 1865 3846 3792 3813,4.093750 3.746094 3.208984 3.064453 2.789062 2.378906 2.357422 2.322266 2.056641 2.025391
unet.up_blocks.0.attentions.0,20,298,1510,3.91796875,27.140625,1510 1718 715 1604 2791 2712 1865 3792 3846 3813,3.917969 3.775391 3.105469 3.007812 2.671875 2.242188 2.238281 2.123047 2.062500 1.989258
unet.up_blocks.0.attentions.0,21,265,1718,3.7890625,26.296875,1718 1510 1604 715 2791 3792 2712 1865 244 3717,3.789062 3.527344 3.062500 3.025391 2.484375 2.187500 2.121094 2.105469 2.000000 1.989258
unet.up_blocks.0.attentions.0,22,232,1718,3.7578125,25.65625,1718 1604 1510 715 2791 3792 244 2712 3717 3305,3.757812 3.220703 3.158203 2.832031 2.322266 2.187500 2.099609 2.091797 2.060547 1.928711
unet.up_blocks.0.attentions.0,23,199,1718,3.681640625,25.328125,1718 1604 1510 715 3792 2791 244 3717 2712 1985,3.681641 3.388672 2.908203 2.669922 2.359375 2.154297 2.126953 2.087891 1.996094 1.961914
unet.up_blocks.0.attentions.0,24,166,1718,3.578125,24.796875,1718 1604 1510 715 3792 244 3717 2791 1985 3305,3.578125 3.359375 2.656250 2.609375 2.408203 2.158203 2.130859 1.993164 1.974609 1.933594
unet.up_blocks.0.attentions.0,25,133,1718,3.40234375,24.25,1718 1604 715 3792 1510 244 3717 1985 3305 4939,3.402344 3.369141 2.644531 2.371094 2.306641 2.277344 2.126953 1.990234 1.915039 1.854492
unet.up_blocks.0.attentions.0,26,100,1604,3.48046875,24.25,1604 1718 715 244 3792 4939 3717 1985 1510 3305,3.480469 3.238281 2.488281 2.476562 2.332031 2.130859 2.056641 2.037109 2.027344 1.982422
unet.up_blocks.0.attentions.0,27,67,1604,3.515625,24.140625,1604 1718 244 715 4939 3792 3717 3305 1985 527,3.515625 3.126953 2.511719 2.476562 2.345703 2.310547 2.148438 1.968750 1.880859 1.855469
unet.up_blocks.0.attentions.0,28,34,1604,3.587890625,24.484375,1604 1718 4939 244 715 3717 3792 4393 527 2565,3.587891 2.830078 2.703125 2.652344 2.406250 2.267578 2.246094 2.015625 1.956055 1.818359
unet.up_blocks.0.attentions.0,29,1,4393,4.30859375,31.453125,4393 4939 1604 2527 244 2229 902 2797 2565 1718,4.308594 4.207031 3.472656 3.328125 3.138672 3.042969 2.958984 2.376953 2.312500 2.308594
