rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
241,3305,0.949999988079071,0.949999988079071,0.17386789619922638,0.21604597568511963,1
242,8248,0.9490000009536743,0.9490000009536743,0.4531570076942444,0.49845361709594727,1
243,7871,0.9480000138282776,0.9480000138282776,0.3351844847202301,0.4463154077529907,1
244,9729,0.9480000138282776,0.9480000138282776,0.33380091190338135,0.4505244195461273,1
245,7169,0.9459999799728394,0.9459999799728394,0.3215944468975067,0.33024129271507263,1
246,3849,0.9459999799728394,0.9459999799728394,0.1950671225786209,0.20221085846424103,1
247,9732,0.9449999928474426,0.9449999928474426,0.3330215811729431,0.34440529346466064,1
248,9815,0.9440000057220459,0.9440000057220459,0.31539228558540344,0.3554205298423767,1
249,1492,0.9440000057220459,0.9440000057220459,0.25705283880233765,0.2845369577407837,1
250,833,0.9440000057220459,0.9440000057220459,0.20260776579380035,0.26766282320022583,1
251,8941,0.9440000057220459,0.9440000057220459,0.18879829347133636,0.25852543115615845,1
252,6252,0.9419999718666077,0.9419999718666077,0.1792437732219696,0.19449475407600403,1
253,105,0.9409999847412109,0.9409999847412109,0.4270815849304199,0.5617616176605225,1
254,8149,0.9409999847412109,0.9409999847412109,0.31550541520118713,0.32479435205459595,1
255,6133,0.9409999847412109,0.9409999847412109,0.20175060629844666,0.3112602233886719,1
256,8367,0.9409999847412109,0.9409999847412109,0.12764248251914978,0.13651180267333984,1
257,2678,0.9399999976158142,0.9399999976158142,0.338273823261261,0.4433884918689728,1
258,5758,0.9390000104904175,0.9390000104904175,0.47457534074783325,0.49799633026123047,1
259,1028,0.9390000104904175,0.9390000104904175,0.4476415812969208,0.5853862762451172,1
260,725,0.9380000233650208,0.9380000233650208,0.5019897818565369,0.589846134185791,1
261,6963,0.9380000233650208,0.9380000233650208,0.3491614758968353,0.4511059820652008,1
262,4483,0.9369999766349792,0.9369999766349792,0.17636647820472717,0.1905767321586609,1
263,9533,0.9359999895095825,0.9359999895095825,0.17059586942195892,0.2083244025707245,1
264,531,0.9350000023841858,0.9350000023841858,0.5384047031402588,0.6686594486236572,1
265,2477,0.9350000023841858,0.9350000023841858,0.397574245929718,0.6188953518867493,1
266,7110,0.9350000023841858,0.9350000023841858,0.36361604928970337,0.3847481608390808,1
267,5191,0.9350000023841858,0.9350000023841858,0.16586919128894806,0.183212548494339,1
268,5722,0.9340000152587891,0.9340000152587891,0.20091037452220917,0.2222018986940384,1
269,5563,0.9319999814033508,0.9319999814033508,0.27693504095077515,0.3262280523777008,1
270,8901,0.9319999814033508,0.9319999814033508,0.2504870295524597,0.2889679968357086,1
