rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
104,4972,0.9829999804496765,0.9829999804496765,0.410401850938797,0.35250505805015564,0
105,3159,0.9829999804496765,0.9829999804496765,0.3456593155860901,0.27925750613212585,0
106,1942,0.9829999804496765,0.9829999804496765,0.2515028119087219,0.1873854696750641,0
107,4296,0.9829999804496765,0.9829999804496765,0.2025451958179474,0.1643856018781662,0
108,1165,0.9829999804496765,0.9829999804496765,0.19678354263305664,0.13270467519760132,0
109,1889,0.9829999804496765,0.9829999804496765,0.1740155965089798,0.13320617377758026,0
110,1334,0.9829999804496765,0.9829999804496765,0.17165274918079376,0.12533994019031525,0
111,3126,0.9829999804496765,0.9829999804496765,0.09762515872716904,0.07612968236207962,0
112,158,0.9819999933242798,0.9819999933242798,0.29167476296424866,0.2295786738395691,0
113,3367,0.9819999933242798,0.9819999933242798,0.27077433466911316,0.16072623431682587,0
114,633,0.9819999933242798,0.9819999933242798,0.25603047013282776,0.3129388689994812,0
115,902,0.9819999933242798,0.9819999933242798,0.19721384346485138,0.17557886242866516,0
116,3743,0.9819999933242798,0.9819999933242798,0.09634704142808914,0.07777570933103561,0
117,4369,0.9810000061988831,0.9810000061988831,0.16293542087078094,0.11324536055326462,0
118,3638,0.9810000061988831,0.9810000061988831,0.10917206108570099,0.0709705799818039,0
119,3044,0.9800000190734863,0.9800000190734863,0.3052472770214081,0.2541821300983429,0
120,4963,0.9800000190734863,0.9800000190734863,0.23464563488960266,0.17708374559879303,0
121,1465,0.9800000190734863,0.9800000190734863,0.14818130433559418,0.1466284990310669,0
122,507,0.9800000190734863,0.9800000190734863,0.11581108719110489,0.09110522270202637,0
123,2411,0.9789999723434448,0.9789999723434448,0.11380711942911148,0.07211635261774063,0
124,927,0.9789999723434448,0.9789999723434448,0.09904342889785767,0.06837703287601471,0
125,2867,0.9779999852180481,0.9779999852180481,0.2706359624862671,0.2696170508861542,0
126,17,0.9779999852180481,0.9779999852180481,0.23350869119167328,0.20270197093486786,0
127,2849,0.9779999852180481,0.9779999852180481,0.19587083160877228,0.1427251398563385,0
128,3797,0.9779999852180481,0.9779999852180481,0.1946108639240265,0.1794028878211975,0
129,269,0.9779999852180481,0.9779999852180481,0.16507957875728607,0.12804339826107025,0
130,308,0.9779999852180481,0.9779999852180481,0.15301232039928436,0.15494240820407867,0
131,4550,0.9779999852180481,0.9779999852180481,0.1370786726474762,0.13150714337825775,0
132,1535,0.9779999852180481,0.9779999852180481,0.10927514731884003,0.09380028396844864,0
133,396,0.9769999980926514,0.9769999980926514,0.19541046023368835,0.16578736901283264,0
134,1585,0.9769999980926514,0.9769999980926514,0.19389542937278748,0.1610257476568222,0
135,4141,0.9769999980926514,0.9769999980926514,0.1769500970840454,0.1720515936613083,0
136,4396,0.9769999980926514,0.9769999980926514,0.12878920137882233,0.09163424372673035,0
137,4102,0.9769999980926514,0.9769999980926514,0.12622536718845367,0.1090284064412117,0
138,982,0.9769999980926514,0.9769999980926514,0.1197669580578804,0.08836742490530014,0
139,547,0.9769999980926514,0.9769999980926514,0.11780727654695511,0.09056669473648071,0
140,3296,0.9769999980926514,0.9769999980926514,0.0830438882112503,0.056329626590013504,0
141,757,0.9760000109672546,0.9760000109672546,0.08465172350406647,0.06479746103286743,0
142,1904,0.9750000238418579,0.9750000238418579,0.4295961558818817,0.3426668047904968,0
143,4000,0.9750000238418579,0.9750000238418579,0.18594104051589966,0.1606823354959488,0
144,5058,0.9750000238418579,0.9750000238418579,0.1803574413061142,0.147027850151062,0
145,766,0.9750000238418579,0.9750000238418579,0.15102727711200714,0.14605693519115448,0
146,4387,0.9750000238418579,0.9750000238418579,0.13558989763259888,0.08801806718111038,0
147,256,0.9750000238418579,0.9750000238418579,0.11342154443264008,0.08788613229990005,0
148,502,0.9739999771118164,0.9739999771118164,0.30255842208862305,0.37053391337394714,0
149,2921,0.9739999771118164,0.9739999771118164,0.1664205640554428,0.14370940625667572,0
150,1730,0.9739999771118164,0.9739999771118164,0.151614248752594,0.11259392648935318,0
151,639,0.9729999899864197,0.9729999899864197,0.20053988695144653,0.18285702168941498,0
152,3676,0.9729999899864197,0.9729999899864197,0.1799858808517456,0.13918451964855194,0
153,4353,0.9729999899864197,0.9729999899864197,0.17077164351940155,0.15589864552021027,0
154,651,0.9729999899864197,0.9729999899864197,0.156315416097641,0.12811382114887238,0
155,2267,0.9729999899864197,0.9729999899864197,0.11199358850717545,0.0757780447602272,0
156,3940,0.9729999899864197,0.9729999899864197,0.10370737314224243,0.07710938900709152,0
157,3769,0.972000002861023,0.972000002861023,0.24412095546722412,0.22680975496768951,0
158,1971,0.972000002861023,0.972000002861023,0.20864959061145782,0.1841079443693161,0
159,3155,0.972000002861023,0.972000002861023,0.1612452268600464,0.13453678786754608,0
160,1117,0.972000002861023,0.972000002861023,0.1547473669052124,0.12128520756959915,0
161,3458,0.972000002861023,0.972000002861023,0.14478686451911926,0.126381978392601,0
162,124,0.9710000157356262,0.9710000157356262,0.27321967482566833,0.22203660011291504,0
163,1787,0.9710000157356262,0.9710000157356262,0.2146865874528885,0.202285036444664,0
164,509,0.9710000157356262,0.9710000157356262,0.16744473576545715,0.1267981082201004,0
165,4205,0.9710000157356262,0.9710000157356262,0.11954113095998764,0.0899435356259346,0
166,3038,0.9710000157356262,0.9710000157356262,0.09474986046552658,0.07725882530212402,0
167,1655,0.9700000286102295,0.9700000286102295,0.21443499624729156,0.18889747560024261,0
168,3933,0.9700000286102295,0.9700000286102295,0.20150557160377502,0.15922507643699646,0
169,3598,0.9700000286102295,0.9700000286102295,0.1891983449459076,0.16086925566196442,0
170,3042,0.9700000286102295,0.9700000286102295,0.17137092351913452,0.1559099555015564,0
171,3671,0.9700000286102295,0.9700000286102295,0.15082918107509613,0.14303617179393768,0
172,4054,0.9700000286102295,0.9700000286102295,0.11160010099411011,0.0880923792719841,0
173,3113,0.9700000286102295,0.9700000286102295,0.104339100420475,0.07246734201908112,0
174,3504,0.9700000286102295,0.9700000286102295,0.09988376498222351,0.07667424529790878,0
175,4808,0.9700000286102295,0.9700000286102295,0.0829896554350853,0.06024101749062538,0
176,4345,0.968999981880188,0.968999981880188,0.2289389818906784,0.2368231862783432,0
177,2035,0.968999981880188,0.968999981880188,0.20302714407444,0.16266222298145294,0
178,4586,0.968999981880188,0.968999981880188,0.1815081536769867,0.13253986835479736,0
179,1746,0.968999981880188,0.968999981880188,0.163282573223114,0.12268347293138504,0
180,3026,0.968999981880188,0.968999981880188,0.15624871850013733,0.13082320988178253,0
181,1966,0.968999981880188,0.968999981880188,0.12948428094387054,0.09421688318252563,0
182,617,0.968999981880188,0.968999981880188,0.10471617430448532,0.0872156172990799,0
183,4021,0.9679999947547913,0.9679999947547913,0.17445166409015656,0.142513707280159,0
184,3697,0.9679999947547913,0.9679999947547913,0.15779583156108856,0.11836067587137222,0
185,861,0.9679999947547913,0.9679999947547913,0.12990620732307434,0.09319198131561279,0
186,1954,0.9679999947547913,0.9679999947547913,0.10438763350248337,0.08824719488620758,0
187,1775,0.9670000076293945,0.9670000076293945,0.19149312376976013,0.1781967282295227,0
188,4519,0.9670000076293945,0.9670000076293945,0.18039295077323914,0.12642939388751984,0
189,5116,0.9670000076293945,0.9670000076293945,0.17010340094566345,0.16644106805324554,0
190,1303,0.9670000076293945,0.9670000076293945,0.1279837042093277,0.09991565346717834,0
191,3921,0.9670000076293945,0.9670000076293945,0.08898472040891647,0.06788928806781769,0
192,2452,0.9660000205039978,0.9660000205039978,0.3245008587837219,0.2927107512950897,0
193,2154,0.9660000205039978,0.9660000205039978,0.19593971967697144,0.1863565891981125,0
194,1711,0.9660000205039978,0.9660000205039978,0.18297737836837769,0.14757320284843445,0
195,830,0.9660000205039978,0.9660000205039978,0.17389532923698425,0.1516202986240387,0
196,3627,0.9660000205039978,0.9660000205039978,0.16018304228782654,0.11989236623048782,0
197,420,0.9660000205039978,0.9660000205039978,0.11806819587945938,0.08098149299621582,0
198,1762,0.9660000205039978,0.9660000205039978,0.08672124147415161,0.06260243058204651,0
199,4038,0.9649999737739563,0.9649999737739563,0.2774542570114136,0.2542785704135895,0
200,1608,0.9649999737739563,0.9649999737739563,0.16989228129386902,0.13530609011650085,0
201,2117,0.9649999737739563,0.9649999737739563,0.16765065491199493,0.143820658326149,0
202,1715,0.9649999737739563,0.9649999737739563,0.14336836338043213,0.11492273956537247,0
203,3161,0.9649999737739563,0.9649999737739563,0.13739942014217377,0.1102372258901596,0
204,2489,0.9649999737739563,0.9649999737739563,0.1286364197731018,0.10628119111061096,0
205,2583,0.9649999737739563,0.9649999737739563,0.0867784395813942,0.06243716552853584,0
206,2993,0.9639999866485596,0.9639999866485596,0.3526563048362732,0.28784334659576416,0
207,5037,0.9639999866485596,0.9639999866485596,0.2716265618801117,0.36630433797836304,0
208,2984,0.9639999866485596,0.9639999866485596,0.2126152217388153,0.18577046692371368,0
209,1965,0.9639999866485596,0.9639999866485596,0.2001398354768753,0.18706701695919037,0
210,484,0.9639999866485596,0.9639999866485596,0.15692222118377686,0.14067180454730988,0
211,3803,0.9639999866485596,0.9639999866485596,0.11609846353530884,0.07955572009086609,0
212,1960,0.9639999866485596,0.9639999866485596,0.08636146783828735,0.06613729894161224,0
213,722,0.9639999866485596,0.9639999866485596,0.07178617268800735,0.055219393223524094,0
214,159,0.9629999995231628,0.9629999995231628,0.26163026690483093,0.303670197725296,0
215,2190,0.9629999995231628,0.9629999995231628,0.18714027106761932,0.15473420917987823,0
216,4076,0.9629999995231628,0.9629999995231628,0.1024806946516037,0.08652136474847794,0
217,778,0.9629999995231628,0.9629999995231628,0.08274949342012405,0.07171757519245148,0
218,2028,0.9620000123977661,0.9620000123977661,0.2616020143032074,0.21423275768756866,0
219,511,0.9610000252723694,0.9610000252723694,0.20502544939517975,0.15392008423805237,0
220,4922,0.9610000252723694,0.9610000252723694,0.19879981875419617,0.1667579710483551,0
221,279,0.9610000252723694,0.9610000252723694,0.16936996579170227,0.12243723124265671,0
222,3228,0.9610000252723694,0.9610000252723694,0.14043794572353363,0.10784967988729477,0
223,1201,0.9610000252723694,0.9610000252723694,0.10013436526060104,0.06477440893650055,0
224,1198,0.9610000252723694,0.9610000252723694,0.10003437846899033,0.09248006343841553,0
225,278,0.9610000252723694,0.9610000252723694,0.08945069462060928,0.07292629778385162,0
